id,source,description,host_id,host_url,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,amenity_count,zipcode,INCOME_HOUSEHOLD_MEDIAN,price_per_person,log_price,host_listing_ratio,is_entire_home,host_verification_count
2992450.0,city scrape,"The apartment is located in a quiet neighborhood . Fully furnished. Linens and towels are provided. It's two blocks away from downtown Albany, and the Palace theater.",4621559,https://www.airbnb.com/users/show/4621559,1/7/2013,"New York, NY",within a day,100%,50%,f,,1,5,"['email', 'phone']",t,t,,THIRD WARD,,42.65789,-73.7537,Entire rental unit,Entire home/apt,4,1.0,1 bath,2,2,"[""Heating"", ""TV with standard cable"", ""Carbon monoxide alarm"", ""Kitchen"", ""Wifi"", ""Smoke alarm"", ""Essentials"", ""Air conditioning""]",70,28,1125,28,28,1125,1125,28.0,1125.0,,t,0,0,0,32,9,0,0,0,0,0,0,7/1/2014,8/17/2022,3.56,3.44,3.56,4.22,4.56,3.22,3.67,f,1,1,0,0,0.07,8,12210,55873,17.5,4.262679877,0.045454545,1,2
3820211.0,city scrape,"Cozy, cool little 1BR Apt in the heart Albany's Center Sq. close to everything.  Enjoy the hip, walking neighborhood and verdant Washington Park in a neighborhood with great eats, architecture and culture... Everything you need down to the corkscrew.",19648678,https://www.airbnb.com/users/show/19648678,8/7/2014,,within an hour,100%,93%,t,Center Square & Hudson/Park,4,7,"['email', 'phone']",t,t,Neighborhood highlights,SIXTH WARD,,42.65222,-73.76724,Entire rental unit,Entire home/apt,2,1.0,1 bath,1,1,"[""Iron"", ""HDTV with standard cable, Apple TV"", ""Coffee maker"", ""Shampoo"", ""Refrigerator"", ""Essentials"", ""Cooking basics"", ""Self check-in"", ""Kitchen"", ""Pets allowed"", ""Hangers"", ""Free dryer \u2013 In unit"", ""Keypad"", ""Stove"", ""Fire extinguisher"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Hair dryer"", ""Free parking on premises"", ""Microwave"", ""Heating"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Wifi"", ""Central air conditioning"", ""Dishwasher"", ""Dishes and silverware""]",102,2,1125,2,3,1125,1125,2.8,1125.0,,t,3,33,63,334,308,7,0,213,15,42,4284,8/15/2014,3/29/2025,4.75,4.89,4.87,4.85,4.81,4.83,4.78,f,4,4,0,0,2.36,28,12208,69505,51.0,4.634728988,0.181818182,1,2
5651579.0,city scrape,"Spacious studio with hardwood floors, fully equipped kitchen, clean and bright. Large modern bath .  Full Cable TV and WiFi. Walking distance to the new Renaissance Hotel.<br />Walk to everything downtown! The Empire Plaza  and the Egg are  across the street.You can't get any closer, to the MVP Arena,  as well as Restaurants, bars, churches. Walk to  Capital and the new Capital Convention Center. Laundry facilities in the apartment",29288920,https://www.airbnb.com/users/show/29288920,3/13/2015,"Albany, NY",within an hour,100%,99%,t,,2,2,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,SECOND WARD,,42.64615,-73.75966,Entire rental unit,Entire home/apt,2,1.0,1 bath,0,1,"[""Iron"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Shampoo"", ""Refrigerator"", ""Long term stays allowed"", ""Essentials"", ""Cooking basics"", ""Self check-in"", ""Kitchen"", ""Hangers"", ""Free dryer \u2013 In unit"", ""TV"", ""Bed linens"", ""Lockbox"", ""Backyard"", ""Stove"", ""Fire extinguisher"", ""Free washer \u2013 In unit"", ""Private entrance"", ""Smoke alarm"", ""Air conditioning"", ""Hair dryer"", ""Free parking on premises"", ""Microwave"", ""Heating"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Wifi"", ""Free street parking"", ""Dishes and silverware""]",75,2,45,1,2,1125,1125,1.3,1125.0,,t,1,1,6,6,371,28,0,6,38,168,12600,5/8/2015,2/16/2025,4.51,4.62,4.45,4.81,4.88,4.76,4.64,f,2,1,1,0,3.05,33,12202,49684,37.5,4.33073334,0.090909091,1,3
6623339.0,city scrape,"Large renovated 1 bedroom apartment in converted police precinct with original tin ceilings. Center Square-the ""village in the city."" Located in a restored police precinct, you are within walking distance of everything, including verdant Washington Park, restaurants and pubs of Lark St., the state capitol, downtown, Albany Med/Law/Pharmacy.",19648678,https://www.airbnb.com/users/show/19648678,8/7/2014,,within an hour,100%,93%,t,Center Square & Hudson/Park,4,7,"['email', 'phone']",t,t,Neighborhood highlights,SIXTH WARD,,42.65222,-73.76724,Entire rental unit,Entire home/apt,2,1.0,1 bath,1,1,"[""Iron"", ""Coffee maker"", ""Shampoo"", ""Refrigerator"", ""Essentials"", ""Cooking basics"", ""Self check-in"", ""Kitchen"", ""Washer"", ""Patio or balcony"", ""Hangers"", ""Keypad"", ""Bed linens"", ""Extra pillows and blankets"", ""Stove"", ""Private entrance"", ""Smoke alarm"", ""Air conditioning"", ""Hair dryer"", ""Free parking on premises"", ""Microwave"", ""Heating"", ""Dryer"", ""TV with standard cable"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Wifi"", ""Free street parking"", ""Dishwasher"", ""Dishes and silverware""]",96,2,1125,1,3,1125,1125,2.8,1125.0,,t,4,4,30,305,331,16,0,184,22,96,9216,6/7/2015,2/9/2025,4.73,4.83,4.71,4.82,4.7,4.8,4.72,f,4,4,0,0,2.74,31,12208,69505,48.0,4.574710979,0.181818182,1,2
9005989.0,city scrape,"(21 years of age or older ONLY) NON- SMOKING.. NO PARTIES Allowed.  Cozy basement apartment in a historic brownstone in the heart of ""Center Square"".  Surrounded by shops, restaurants, and night life. Walking distance to Albany Med, State Offices, The State Capital, and The Empire State Plaza. 30 mins from Saratoga Raceway. 50 mins from Lake George. 1/2 mile Palace theater",17766924,https://www.airbnb.com/users/show/17766924,7/7/2014,"Albany, NY",within an hour,100%,100%,t,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,SIXTH WARD,,42.65559,-73.76506,Entire rental unit,Entire home/apt,4,1.0,1 bath,1,2,"[""Window AC unit"", ""Coffee maker"", ""Shampoo"", ""Refrigerator"", ""Long term stays allowed"", ""Essentials"", ""Cooking basics"", ""Self check-in"", ""Conditioner"", ""Pack \u2019n play/Travel crib"", ""Kitchen"", ""Pets allowed"", ""Portable fans"", ""Shower gel"", ""Hangers"", ""Keypad"", ""TV"", ""Bed linens"", ""Stove"", ""Fire extinguisher"", ""Private entrance"", ""Smoke alarm"", ""Hair dryer"", ""Microwave"", ""Heating"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Wifi"", ""Free street parking"", ""Laundromat nearby"", ""Dishwasher"", ""Dishes and silverware""]",88,1,1125,1,1,1125,1125,1.0,1125.0,,t,23,51,76,167,617,29,1,77,31,174,15312,8/7/2016,4/13/2025,4.79,4.86,4.83,4.95,4.93,4.87,4.78,f,1,1,0,0,5.8,33,12210,55873,22.0,4.48863637,0.045454545,1,2
9501054.0,city scrape,"Great location within walking distance to the Capital. It is a good size bedroom with WiFi internet . Private full bath.  We provide in the room a small refrigerator, Microwave ,coffee pot,iron ,hair dryer and  TV. Lots of entertainment nearby. Brew pubs, restaurants, the NYS Museum. Governor's Mansion. Washington Park.Capital Rep Theater as well as the Palace Theater.",29288920,https://www.airbnb.com/users/show/29288920,3/13/2015,"Albany, NY",within an hour,100%,99%,t,,2,2,"['email', 'phone', 'work_email']",t,t,Neighborhood highlights,SECOND WARD,,42.64734,-73.75851,Private room in rental unit,Private room,2,1.0,1 private bath,1,2,"[""Iron"", ""Mini fridge"", ""Window AC unit"", ""Coffee maker"", ""Shampoo"", ""Refrigerator"", ""Long term stays allowed"", ""Essentials"", ""Self check-in"", ""Lock on bedroom door"", ""Portable fans"", ""Shower gel"", ""Hangers"", ""Bed linens"", ""Lockbox"", ""Private entrance"", ""Smoke alarm"", ""Hair dryer"", ""Microwave"", ""Heating"", ""Dedicated workspace"", ""TV with standard cable"", ""Carbon monoxide alarm"", ""Hot water"", ""Wifi"", ""Free street parking"", ""Laundromat nearby"", ""Dishes and silverware""]",52,1,60,1,1,60,60,1.0,60.0,,t,11,25,52,52,415,36,2,52,42,216,11232,2/2/2016,4/25/2025,4.56,4.72,4.51,4.84,4.86,4.76,4.67,f,2,1,1,0,3.69,28,12207,32418,26.0,3.970291914,0.090909091,0,3
10768745.0,city scrape,Spacious warm studio in 1840 house close to hospitals and downtown. Own bath flat screen cable tv wireless internet ground floor. Double bed coffee tea fridge microwave and parking. Suit 1. On park walk to post office cvs Chinese sports bar. Comfortable and decorated with taste. Irish host,5691268,https://www.airbnb.com/users/show/5691268,3/30/2013,"Albany, NY",within a few hours,100%,95%,t,,2,3,"['email', 'phone']",t,t,,FOURTEENTH WARD,,42.66078,-73.80553,Private room in guest suite,Private room,1,1.0,1 private bath,1,1,"[""Iron"", ""Single level home"", ""Window AC unit"", ""Ethernet connection"", ""Shampoo"", ""Refrigerator"", ""Essentials"", ""Self check-in"", ""Lock on bedroom door"", ""Patio or balcony"", ""Hangers"", ""Bed linens"", ""Lockbox"", ""Smoke alarm"", ""Hair dryer"", ""Free parking on premises"", ""Microwave"", ""Heating"", ""Dedicated workspace"", ""TV with standard cable"", ""Carbon monoxide alarm"", ""Hot water"", ""Wifi""]",47,1,1125,1,1,1125,1125,1.0,1125.0,,t,12,34,57,144,782,132,6,144,128,255,11985,2/5/2016,4/14/2025,4.82,4.89,4.78,4.93,4.88,4.92,4.91,f,2,0,2,0,6.95,23,12208,69505,47.0,3.871201011,0.090909091,0,2
11253948.0,city scrape,"Cute single family bungalow (1200sqft) in a convenient location with the lots of restaurants, bars and shops right around the corner. <br /><br />Totally renovated with open floor plan.<br /><br />77” 2023 LG B3 OLED TV  just added to living room with Sonos surround + sub!<br /><br />3 Bedrooms with 1 King bed, 2 Queen beds, 1 Full sized bed and 2 airbeds can be added upon request.  Easy Parking two lane driveway by house.<br /><br />$50 pet fee, please inquire before booking, thank you!",4259750,https://www.airbnb.com/users/show/4259750,11/27/2012,"Albany, NY",within an hour,100%,90%,t,Pine Hills,9,14,"['email', 'phone']",t,t,Neighborhood highlights,FIFTEENTH WARD,,42.67567,-73.82438,Entire place,Entire home/apt,10,2.0,2 baths,3,4,"[""Books and reading material"", ""Iron"", ""Luggage dropoff allowed"", ""Essentials"", ""Babysitter recommendations"", ""Toaster"", ""Game console"", ""Keypad"", ""Extra pillows and blankets"", ""Private entrance"", ""Board games"", ""Free parking on premises"", ""Cleaning products"", ""Outdoor furniture"", ""Coffee"", ""Window AC unit"", ""Refrigerator"", ""Hot water kettle"", ""Barbecue utensils"", ""Self check-in"", ""Conditioner"", ""Pack \u2019n play/Travel crib"", ""GE stainless steel gas stove"", ""Private backyard \u2013 Not fully fenced"", ""Portable fans"", ""Wine glasses"", ""Sonos sound system with Bluetooth and aux"", ""Garden view"", ""Fire extinguisher"", ""Free washer \u2013 In unit"", ""Body soap"", ""Smoke alarm"", ""Microwave"", ""Wifi"", ""Dishes and silverware"", ""Safe"", ""Coffee maker"", ""Indoor fireplace: gas"", ""Cleaning available during stay"", ""Baking sheet"", ""65 inch HDTV with Roku, premium cable, Amazon Prime Video, standard cable, Apple TV, Netflix, Hulu"", ""First aid kit"", ""Pets allowed"", ""High chair"", ""Ceiling fan"", ""Room-darkening shades"", ""Bed linens"", ""Hair dryer"", ""Fire pit"", ""Sun loungers"", ""Stainless steel oven"", ""Rice maker"", ""Free street parking"", ""Laundromat nearby"", ""Dishwasher"", ""Baby bath"", ""Ethernet connection"", ""Shampoo"", ""Long term stays allowed"", ""Exterior security cameras on property"", ""Cooking basics"", ""Freezer"", ""Drying rack for clothing"", ""Kitchen"", ""Shower gel"", ""Hangers"", ""Private patio or balcony"", ""Free dryer \u2013 In unit"", ""Baby safety gates"", ""Outlet covers"", ""Bathtub"", ""BBQ grill"", ""Clothing storage: walk-in closet and wardrobe"", ""Dining table"", ""Heating"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Hot water"", ""Outdoor dining area"", ""Blender""]",213,1,1124,1,2,1124,1124,1.3,1124.0,,t,19,39,64,327,185,31,2,207,34,186,39618,5/29/2016,4/16/2025,4.96,4.93,4.98,4.99,4.96,4.95,4.87,f,9,9,0,0,1.7,80,12203,80055,21.3,5.365976015,0.409090909,1,2
11639446.0,city scrape,"Regular breakfast free<br /><br />Lunch packed $5<br />Dinner Plate $10<br /><br />We updated cleaning protocol because of COVID-19 pandemic<br /><br />OUR PRIORITY IS ORGANIC LIFE SO OTHER THING IS LESS IMPORTANT <br />FREE LAUNDRY <br />AIR CONDITIONING <br />No parking space on premises just street parking<br />.<br />Internet High speed WiFi,<br />This building is 100 years older.<br />We don't use chemical pesticides ,chemical cleaning stuff.We use Vinegar,baking powder,biological pesticides .<br />Therefore not fancy clea",61700428,https://www.airbnb.com/users/show/61700428,3/5/2016,"Albany, NY",Unknown,,50%,f,,2,2,"['email', 'phone']",t,t,Neighborhood highlights,ELEVENTH WARD,,42.67583,-73.78297,Private room in home,Private room,1,1.5,1.5 shared baths,0,1,"[""Books and reading material"", ""Breakfast"", ""Shampoo"", ""Refrigerator"", ""Long term stays allowed"", ""Essentials"", ""Cooking basics"", ""Free dryer \u2013 In building"", ""Dishes and silverware"", ""Conditioner"", ""Kitchen"", ""First aid kit"", ""Hangers"", ""Host greets you"", ""Smoke alarm"", ""Free washer \u2013 In building"", ""Hair dryer"", ""Clothing storage: closet"", ""Microwave"", ""Heating"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Gas stove"", ""Wifi"", ""Free street parking"", ""Dishwasher"", ""Safe""]",55,15,112,15,15,112,112,15.0,112.0,,t,30,60,90,365,231,0,0,244,2,0,0,5/31/2016,2/29/2024,4.81,4.87,4.37,4.94,4.96,4.52,4.87,f,2,0,2,0,2.13,28,12206,38931,55.0,4.025351691,0.090909091,0,2
12284708.0,city scrape,"Single family home with driveway close to Albany Med, St. Peter’s, St. Rose, U Albany, CDTA public transport, restaurants, downtown, and nightlife.",36438637,https://www.airbnb.com/users/show/36438637,6/22/2015,"Albany, NY",within an hour,100%,100%,,,15,15,"['email', 'phone']",t,t,Neighborhood highlights,TENTH WARD,,42.65912,-73.78349,Private room in home,Private room,2,1.0,1 shared bath,1,1,"[""Books and reading material"", ""Iron"", ""Mini fridge"", ""Luggage dropoff allowed"", ""Window AC unit"", ""Refrigerator"", ""Long term stays allowed"", ""Essentials"", ""Toaster"", ""Cooking basics"", ""Freezer"", ""Self check-in"", ""Baking sheet"", ""Lock on bedroom door"", ""Kitchen"", ""First aid kit"", ""Hangers"", ""Free dryer \u2013 In unit"", ""Keypad"", ""TV"", ""Free driveway parking on premises"", ""Bathtub"", ""Bed linens"", ""Coffee maker: drip coffee maker, Keurig coffee machine"", ""Stove"", ""Fire extinguisher"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Hair dryer"", ""Clothing storage: closet"", ""Microwave"", ""Dining table"", ""Central heating"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Wifi"", ""Free street parking"", ""Cleaning products"", ""Blender"", ""Shared backyard \u2013 Fully fenced"", ""Dishwasher"", ""Dishes and silverware""]",41,18,365,18,18,1125,1125,18.0,1125.0,,t,0,0,0,243,61,0,0,122,0,0,0,5/23/2016,10/26/2019,4.61,4.75,4.46,4.86,4.81,4.73,4.68,t,4,0,4,0,0.56,44,12208,69505,20.5,3.737669618,0.181818182,0,2
12799126.0,city scrape,"Perfect location with clean comfortable private room surrounded by bars restaurants, market, parks and many more.",69729286,https://www.airbnb.com/users/show/69729286,5/1/2016,"Albany, NY",within an hour,100%,67%,f,Capitol Hill,2,2,"['email', 'phone']",t,t,Neighborhood highlights,SIXTH WARD,,42.65154,-73.76867,Private room in rental unit,Private room,1,1.0,1 shared bath,1,1,"[""Iron"", ""Single level home"", ""Luggage dropoff allowed"", ""Window AC unit"", ""Shampoo"", ""Refrigerator"", ""Long term stays allowed"", ""Essentials"", ""Toaster"", ""Cooking basics"", ""Freezer"", ""Hot water kettle"", ""Barbecue utensils"", ""HDTV with Netflix"", ""Lock on bedroom door"", ""Kitchen"", ""Washer"", ""Hangers"", ""Bathtub"", ""Bed linens"", ""Host greets you"", ""Extra pillows and blankets"", ""Stove"", ""Smoke alarm"", ""Hair dryer"", ""Clothing storage: closet"", ""Shared patio or balcony"", ""Microwave"", ""Heating"", ""Dedicated workspace"", ""Dryer"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Wifi"", ""Free street parking"", ""Cleaning products"", ""Laundromat nearby"", ""Dishes and silverware""]",47,5,1125,5,5,1125,1125,5.0,1125.0,,t,0,0,0,273,28,0,0,153,1,0,0,8/23/2020,2/6/2024,4.82,4.89,4.57,4.82,4.89,4.71,4.75,f,2,0,2,0,0.49,39,12208,69505,47.0,3.871201011,0.090909091,0,2
13083497.0,city scrape,"Immaculate two level 3000 Sq. Ft. Bright & Sunny Cape Cod with 4 large bedrooms, Den, 2 full baths, living, dining & kitchen. Central Air & Heat. The house is situated in upscale Pine hills neighborhood on a quite dead end street with a Creek flowing through the back of the property. Peaceful & Serene View from Deck. Convenient location. Parking, Streaming Channels & WiFi included.  Relax on the deck overlooking creek with nature sounds. Short drive  to Ski Resorts.",1364123,https://www.airbnb.com/users/show/1364123,11/2/2011,"Albany, NY",within an hour,100%,100%,f,,1,5,"['email', 'phone']",t,t,Neighborhood highlights,FIFTEENTH WARD,,42.66972,-73.82753,Entire home,Entire home/apt,8,2.0,2 baths,4,4,"[""Books and reading material"", ""Iron"", ""40 inch HDTV with standard cable"", ""Crib"", ""Coffee maker"", ""Ethernet connection"", ""Shampoo"", ""Refrigerator"", ""Long term stays allowed"", ""Exterior security cameras on property"", ""Essentials"", ""Babysitter recommendations"", ""Cooking basics"", ""Freezer"", ""Toaster"", ""Hot water kettle"", ""Self check-in"", ""Free driveway parking on premises \u2013 2 spaces"", ""Dishes and silverware"", ""Kitchen"", ""Private backyard \u2013 Not fully fenced"", ""High chair"", ""Portable fans"", ""Private patio or balcony"", ""Hangers"", ""Ceiling fan"", ""Free dryer \u2013 In unit"", ""Keypad"", ""Garden view"", ""Bathtub"", ""Bed linens"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Free washer \u2013 In unit"", ""Children\u2019s books and toys"", ""Private entrance"", ""BBQ grill"", ""Smoke alarm"", ""Hair dryer"", ""Microwave"", ""Dining table"", ""Heating"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Gas stove"", ""Wifi"", ""Free street parking"", ""Laundromat nearby"", ""Clothing storage: walk-in closet, closet, wardrobe, and dresser"", ""Central air conditioning"", ""Dishwasher"", ""Safe""]",219,2,1125,2,2,1125,1125,2.0,1125.0,,t,19,44,52,311,188,13,1,190,15,78,17082,7/1/2016,4/27/2025,4.66,4.8,4.72,4.89,4.86,4.8,4.77,f,1,1,0,0,1.75,53,12203,80055,27.375,5.393627546,0.045454545,1,2
14316232.0,city scrape,"Single family home with driveway close to Albany Med, St. Peter’s, St. Rose, U Albany, CDTA public transport, restaurants, downtown, and nightlife. <br /><br />Recently renovated room packed with basic amenities.",36438637,https://www.airbnb.com/users/show/36438637,6/22/2015,"Albany, NY",within an hour,100%,100%,,,15,15,"['email', 'phone']",t,t,Neighborhood highlights,TENTH WARD,,42.65726,-73.78219,Private room in home,Private room,1,1.0,1 shared bath,1,1,"[""Books and reading material"", ""Iron"", ""Luggage dropoff allowed"", ""Window AC unit"", ""Refrigerator"", ""Long term stays allowed"", ""Essentials"", ""Toaster"", ""Cooking basics"", ""Freezer"", ""Self check-in"", ""Baking sheet"", ""Lock on bedroom door"", ""Kitchen"", ""First aid kit"", ""Hangers"", ""Free dryer \u2013 In unit"", ""Keypad"", ""TV"", ""Free driveway parking on premises"", ""Bathtub"", ""Bed linens"", ""Coffee maker: drip coffee maker, Keurig coffee machine"", ""Stove"", ""Fire extinguisher"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Hair dryer"", ""Clothing storage: closet"", ""Microwave"", ""Dining table"", ""Central heating"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Wifi"", ""Free street parking"", ""Cleaning products"", ""Blender"", ""Shared backyard \u2013 Fully fenced"", ""Dishwasher"", ""Dishes and silverware""]",45,18,1125,18,18,1125,1125,18.0,1125.0,,t,30,60,90,365,53,5,1,244,4,180,8100,8/7/2016,4/5/2025,4.68,4.81,4.58,4.94,4.75,4.65,4.77,t,4,0,4,0,0.5,43,12208,69505,45.0,3.828641396,0.181818182,0,2
14989805.0,city scrape,"My place is close to University of Albany, shopping malls and plazas, bars, restaurants, the airport, the city center, parks, art and culture. You’ll love my place because of the location, the ambiance, the outdoors space, fully renovated, newly furnished, nice yard, awesome double rear deck,  open floor plan and central air.   My place is good for couples, solo adventurers, business travelers, families (with kids), big groups, and furry friends ($50 pet fee w/ booties included).",4259750,https://www.airbnb.com/users/show/4259750,11/27/2012,"Albany, NY",within an hour,100%,90%,t,Pine Hills,9,14,"['email', 'phone']",t,t,Neighborhood highlights,FIFTEENTH WARD,,42.673512,-73.819679,Entire home,Entire home/apt,7,2.0,2 baths,2,2,"[""Iron"", ""Crib"", ""Coffee maker"", ""Baby bath"", ""Shampoo"", ""Refrigerator"", ""Exterior security cameras on property"", ""Private backyard \u2013 Fully fenced"", ""Essentials"", ""Cooking basics"", ""Electric stove"", ""Self check-in"", ""Game console"", ""Pack \u2019n play/Travel crib"", ""Kitchen"", ""First aid kit"", ""Pets allowed"", ""High chair"", ""Hangers"", ""Free dryer \u2013 In unit"", ""Children\u2019s dinnerware"", ""Keypad"", ""55 inch HDTV with Amazon Prime Video, Apple TV, Hulu, Netflix, premium cable, Roku, standard cable"", ""Garden view"", ""Bathtub"", ""Lake access"", ""Fire extinguisher"", ""Free washer \u2013 In unit"", ""Children\u2019s books and toys"", ""Board games"", ""BBQ grill"", ""Smoke alarm"", ""Hair dryer"", ""Free parking on premises"", ""Microwave"", ""Heating"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Outdoor dining area"", ""Wifi"", ""Free street parking"", ""Central air conditioning"", ""Dishwasher"", ""Outdoor furniture"", ""Dishes and silverware""]",192,1,730,1,1,730,730,1.0,730.0,,t,27,35,62,333,113,27,3,212,26,162,31104,11/13/2016,4/6/2025,4.96,4.96,4.92,4.98,4.97,4.85,4.67,f,9,9,0,0,1.1,47,12203,80055,27.42857143,5.262690189,0.409090909,1,2
15580397.0,city scrape,"Women only! Private bedroom, shared living room, and shared bathroom on the 2nd floor in my personal home with 2-3 guests.   3 fans in each bedroom. Mini fridge, microwave, coffee maker, and toaster in the room.  No ac and no kitchen use. Self-check-in Owner-occupied house. On bus lines. You’ll love my place because of its uniqueness, location, and vintage finds.  Direct bus line to Greyhound, Amtrak, Mall, Empire State Plaza, , and Suny Albany.  Free street parking only.",89705052,https://www.airbnb.com/users/show/89705052,8/13/2016,"Albany, NY",within an hour,100%,100%,f,Pine Hills,2,9,"['email', 'phone']",t,t,Neighborhood highlights,NINTH WARD,,42.65651,-73.77887,Private room in home,Private room,2,1.0,1 shared bath,1,1,"[""Books and reading material"", ""Iron"", ""Mini fridge"", ""Coffee maker"", ""Shampoo"", ""Long term stays allowed"", ""Exterior security cameras on property"", ""Essentials"", ""Toaster"", ""Self check-in"", ""Conditioner"", ""Lock on bedroom door"", ""Clothing storage: closet and dresser"", ""Smart lock"", ""Portable fans"", ""Shower gel"", ""Hangers"", ""Bathtub"", ""Bed linens"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Body soap"", ""Smoke alarm"", ""Hair dryer"", ""Microwave"", ""Heating"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""40 inch HDTV with Fire TV, Hulu, Netflix"", ""Hot water"", ""Wifi"", ""Free street parking"", ""Cleaning products"", ""Laundromat nearby"", ""Dishes and silverware""]",53,2,29,2,10,29,29,2.2,29.0,,t,30,60,90,92,48,8,0,91,8,48,2544,5/29/2017,2/27/2025,4.65,4.83,4.81,4.88,4.73,4.81,4.73,f,2,0,2,0,0.5,35,12208,69505,26.5,3.988984047,0.090909091,0,2
16531782.0,city scrape,,5691268,https://www.airbnb.com/users/show/5691268,3/30/2013,"Albany, NY",within a few hours,100%,95%,t,,2,3,"['email', 'phone']",t,t,,FOURTEENTH WARD,,42.66075,-73.80605,Private room in guest suite,Private room,2,1.0,1 private bath,1,1,"[""Iron"", ""Single level home"", ""Luggage dropoff allowed"", ""Window AC unit"", ""Coffee maker"", ""Shampoo"", ""Refrigerator"", ""Long term stays allowed"", ""Essentials"", ""Kitchen"", ""Patio or balcony"", ""Hangers"", ""HDTV"", ""Private entrance"", ""Smoke alarm"", ""Hair dryer"", ""Free parking on premises"", ""Heating"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Hot water"", ""Wifi"", ""Outdoor furniture"", ""Dishes and silverware""]",60,1,1125,1,1,1125,1125,1.0,1125.0,,t,22,49,74,316,484,103,0,195,139,255,15300,5/28/2020,3/5/2025,4.76,4.85,4.65,4.86,4.79,4.91,4.85,f,2,0,2,0,8.06,24,12208,69505,30.0,4.110873864,0.090909091,0,2
17514620.0,city scrape,"Convenience and comfort is what you will find. Private bedroom offered in single family home with driveway close to Albany Med, St. Peter’s, St. Rose, U Albany, CDTA public transport, restaurants, downtown, and nightlife.<br />Full kitchen available with comfortable living room and full bathroom.<br />Hosted multiple medical professionals, students, state interns, and more!<br /><br />House is a 4 bedroom 1 bath home.",36438637,https://www.airbnb.com/users/show/36438637,6/22/2015,"Albany, NY",within an hour,100%,100%,,,15,15,"['email', 'phone']",t,t,,TENTH WARD,,42.6584,-73.78309,Private room in home,Private room,1,1.0,1 shared bath,1,1,"[""Books and reading material"", ""Iron"", ""Luggage dropoff allowed"", ""Window AC unit"", ""Refrigerator"", ""Long term stays allowed"", ""Coffee maker: drip coffee maker"", ""Essentials"", ""Toaster"", ""Cooking basics"", ""Freezer"", ""Self check-in"", ""Baking sheet"", ""Lock on bedroom door"", ""Kitchen"", ""First aid kit"", ""Hangers"", ""Free dryer \u2013 In unit"", ""Keypad"", ""TV"", ""Free driveway parking on premises"", ""Bathtub"", ""Bed linens"", ""Backyard"", ""Stove"", ""Fire extinguisher"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Hair dryer"", ""Clothing storage: closet"", ""Shared patio or balcony"", ""Microwave"", ""Dining table"", ""Central heating"", ""Dedicated workspace"", ""Carbon monoxide alarm"", ""Oven"", ""Hot water"", ""Wifi"", ""Free street parking"", ""Cleaning products"", ""Blender"", ""Dishwasher"", ""Dishes and silverware""]",41,18,1125,18,18,1125,1125,18.0,1125.0,,t,26,56,86,361,56,2,0,240,4,72,2952,3/15/2017,11/2/2024,4.75,4.71,4.57,4.93,4.95,4.7,4.66,t,4,0,4,0,0.57,44,12208,69505,41.0,3.737669618,0.181818182,0,2
